S.no,States/Uts,Sanction order no,Date of sanction [DD/MM/YYYY],Date of IFD[DD/MM/YYYY],Total Amount released(actual in Rs),Finanacial Year of sanction order,Total Amount released(in lakh),Released for academic year,Amount released for academic year(in lakh),Amount given in reference data (in lakh),Remark if any
207,Tripura,No.20014/25/20)-Education,08/31/2012,,9735000,2012-13,97.35,2012-13,97.35,,
208,Uttar Pradesh,,,,,2012-13,,,,227,"Data not available on MoTA portal, only available in reference data."
209,Uttrakhand,No.20014/27/2012-Education,27/09/2012,,44798000,2012-13,447.98,2012-13,447.98,657.98,Data mismatch between portal and reference data
210,West Bengal,,,,,2012-13,,,,949.16,"Data not available on MoTA portal, only available in reference data."
,Andhra Pradesh,20014/4/2018-Sch,01/10/2013,,721435100,2012-13,7214.35,2012-13,7214.35,,
,Andhra Pradesh,20014/4/2018-Sch,09/26/2014,,296392750,2014-15,2963.9275,2014-15,2963.9275,,
,Assam,20014/6/2018-Sch,03/27/2017,,747000,2016-17,7.47,2016-17,7.47,,
,Chhattisgarh,20014/8/2018-Sch,06/01/2013,,184074000,2013-14,1840.74,2013-14,1840.74,,
,,,,,,,,,,,
,Karnataka,F.No. 20014/13/2012-Education,26/9/2014,,306100000,2014-15,3061,2014-15,3061,,
